Date,Name,Year,Letterboxd URI
2022-08-06,The Evil Dead,1981,https://boxd.it/29Go
2022-08-06,Gremlins,1984,https://boxd.it/29gg
2022-08-06,Fright Night,1985,https://boxd.it/1T4e
2022-08-06,Hellraiser,1987,https://boxd.it/1Zpi
2022-08-06,Child's Play,1988,https://boxd.it/1VTo
2022-08-06,Pet Sematary,1989,https://boxd.it/1ZBy
2022-08-06,It,1990,https://boxd.it/26tG
2022-08-06,I Know What You Did Last Summer,1997,https://boxd.it/2588
2022-08-06,Final Destination,2000,https://boxd.it/1YrC
2022-08-06,Drag Me to Hell,2009,https://boxd.it/1Jzw
2022-08-06,Orphan,2009,https://boxd.it/1CgM
2022-08-06,The Purge,2013,https://boxd.it/4Xg0
2022-08-06,The Shallows,2016,https://boxd.it/aXgQ
2022-08-06,Escape Room,2019,https://boxd.it/iYlS
2022-08-06,The Invisible Man,2020,https://boxd.it/kWlA
2022-08-06,X,2022,https://boxd.it/sxVa
2022-11-27,28 Weeks Later,2007,https://boxd.it/28Bi
2022-11-27,Safe,1995,https://boxd.it/1gKU
2022-11-27,Michael Clayton,2007,https://boxd.it/2466
2022-11-27,About a Boy,2002,https://boxd.it/2aMC
2022-11-27,In the Name of the Father,1993,https://boxd.it/20I6
2022-11-27,Out of Sight,1998,https://boxd.it/28R6
2022-11-27,M*A*S*H,1970,https://boxd.it/29U6
2022-11-27,Kicking and Screaming,1995,https://boxd.it/1pHK
2022-11-30,The Brood,1979,https://boxd.it/1ovS
2022-11-30,A History of Violence,2005,https://boxd.it/2bfa
2022-11-30,Cabaret,1972,https://boxd.it/1Vpe
2022-11-30,Star 80,1983,https://boxd.it/1kKu
2022-11-30,Lenny,1974,https://boxd.it/1sym
2022-11-30,Sweet Charity,1969,https://boxd.it/WrS
2022-11-30,Dune,1984,https://boxd.it/29tY
2022-11-30,Wild at Heart,1990,https://boxd.it/2aii
2022-11-30,The Straight Story,1999,https://boxd.it/2ass
2022-11-30,Halloween II,1981,https://boxd.it/1UeE
2022-11-30,Halloween III: Season of the Witch,1982,https://boxd.it/1VFc
2022-11-30,Glass Onion,2022,https://boxd.it/oCkK
2022-12-01,Top Gun,1986,https://boxd.it/29JC
2022-12-01,Stand by Me,1986,https://boxd.it/2aOe
2022-12-01,Platoon,1986,https://boxd.it/29BS
2022-12-01,Little Shop of Horrors,1986,https://boxd.it/1Vqm
2022-12-01,Manhunter,1986,https://boxd.it/1TOw
2022-12-01,Pretty in Pink,1986,https://boxd.it/1TEw
2022-12-01,The Texas Chainsaw Massacre 2,1986,https://boxd.it/1Kk8
2022-12-01,She's Gotta Have It,1986,https://boxd.it/1quC
2022-12-01,Jason Lives - Friday the 13th Part VI,1986,https://boxd.it/1WM4
2022-12-01,Henry: Portrait of a Serial Killer,1986,https://boxd.it/1VCM
2022-12-01,The Great Mouse Detective,1986,https://boxd.it/1XlI
2022-12-01,From Beyond,1986,https://boxd.it/1NXi
2022-12-01,True Stories,1986,https://boxd.it/1wXU
2022-12-01,Something Wild,1986,https://boxd.it/1UbU
2022-12-01,The Hitcher,1986,https://boxd.it/1Yq0
2022-12-01,Star Trek IV: The Voyage Home,1986,https://boxd.it/2aYe
2022-12-01,Crocodile Dundee,1986,https://boxd.it/1Y5Q
2022-12-01,Short Circuit,1986,https://boxd.it/26zY
2022-12-01,Hoosiers,1986,https://boxd.it/22Ke
2022-12-01,April Fool's Day,1986,https://boxd.it/1wNq
2022-12-01,9½ Weeks,1986,https://boxd.it/1XaA
2022-12-01,Psycho III,1986,https://boxd.it/1RsS
2022-12-01,Back to School,1986,https://boxd.it/1LUm
2022-12-01,Jean de Florette,1986,https://boxd.it/24gK
2022-12-01,Ruthless People,1986,https://boxd.it/1SpU
2022-12-01,Heartbreak Ridge,1986,https://boxd.it/1Xiu
2022-12-01,Manon of the Spring,1986,https://boxd.it/24gA
2022-12-01,F/X,1986,https://boxd.it/1XDW
2022-12-01,Down and Out in Beverly Hills,1986,https://boxd.it/1XtC
2022-12-01,Two Friends,1986,https://boxd.it/43FS
2022-12-01,The Big Easy,1986,https://boxd.it/1UOW
2022-12-01,SpaceCamp,1986,https://boxd.it/1PsG
2022-12-01,Iron Eagle,1986,https://boxd.it/1UNu
2022-12-01,Gung Ho,1986,https://boxd.it/1PBo
2022-12-01,Sweet Liberty,1986,https://boxd.it/7NI
2022-12-01,The Princess Bride,1987,https://boxd.it/26EY
2022-12-01,Dirty Dancing,1987,https://boxd.it/2baY
2022-12-01,The Lost Boys,1987,https://boxd.it/28DI
2022-12-01,The Untouchables,1987,https://boxd.it/2b6i
2022-12-01,Wings of Desire,1987,https://boxd.it/2b26
2022-12-01,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE
2022-12-01,Spaceballs,1987,https://boxd.it/29cy
2022-12-01,Lethal Weapon,1987,https://boxd.it/29e0
2022-12-01,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W
2022-12-01,"Good Morning, Vietnam",1987,https://boxd.it/29Aq
2022-12-01,Near Dark,1987,https://boxd.it/1SRO
2022-12-01,The Witches of Eastwick,1987,https://boxd.it/2272
2022-12-01,Wall Street,1987,https://boxd.it/1VFG
2022-12-01,Fatal Attraction,1987,https://boxd.it/1UTC
2022-12-01,The Running Man,1987,https://boxd.it/29q6
2022-12-01,The Living Daylights,1987,https://boxd.it/29Le
2022-12-01,Beverly Hills Cop II,1987,https://boxd.it/2b9G
2022-12-01,The Hidden,1987,https://boxd.it/1RUW
2022-12-01,Creepshow 2,1987,https://boxd.it/1Kq6
2022-12-01,The Stepfather,1987,https://boxd.it/1wii
2022-12-01,Ishtar,1987,https://boxd.it/1Rny
2022-12-01,Less Than Zero,1987,https://boxd.it/1PAA
2022-12-01,La Bamba,1987,https://boxd.it/1JTc
2022-12-01,Roxanne,1987,https://boxd.it/1TuG
2022-12-01,Throw Momma from the Train,1987,https://boxd.it/1SPy
2022-12-01,No Way Out,1987,https://boxd.it/1X8k
2022-12-01,Barfly,1987,https://boxd.it/1V2a
2022-12-01,Hollywood Shuffle,1987,https://boxd.it/1ekq
2022-12-01,Eddie Murphy Raw,1987,https://boxd.it/1J6a
2022-12-01,Prince: Sign 'o' the Times,1987,https://boxd.it/16AA
2022-12-01,Summer School,1987,https://boxd.it/1NBQ
2022-12-01,Stakeout,1987,https://boxd.it/1Vdi
2022-12-01,Das Boot,1985,https://boxd.it/EIvQ
2022-12-01,Swimming to Cambodia,1987,https://boxd.it/XWW
2022-12-01,The Believers,1987,https://boxd.it/1hMC
2022-12-01,Aria,1987,https://boxd.it/1v1K
2022-12-01,Prick Up Your Ears,1987,https://boxd.it/1qOi
2022-12-01,Cry Freedom,1987,https://boxd.it/1RQ6
2022-12-01,Tin Men,1987,https://boxd.it/1V8s
2022-12-01,Dead of Winter,1987,https://boxd.it/2u7E
2022-12-01,Light of Day,1987,https://boxd.it/27p6
2022-12-01,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE
2022-12-01,A Fish Called Wanda,1988,https://boxd.it/29YC
2022-12-01,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi
2022-12-01,Halloween 4: The Return of Michael Myers,1988,https://boxd.it/1U2S
2022-12-01,Midnight Run,1988,https://boxd.it/1ZnQ
2022-12-01,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI
2022-12-01,Say Anything...,1989,https://boxd.it/27B2
2022-12-01,"sex, lies, and videotape",1989,https://boxd.it/28Oc
2022-12-01,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw
2022-12-01,The Abyss,1989,https://boxd.it/26mK
2022-12-01,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO
2022-12-01,Field of Dreams,1989,https://boxd.it/26VK
2022-12-01,Santa Sangre,1989,https://boxd.it/1FrI
2022-12-01,Lethal Weapon 2,1989,https://boxd.it/29dQ
2022-12-01,Steel Magnolias,1989,https://boxd.it/1Vd8
2022-12-01,Drugstore Cowboy,1989,https://boxd.it/2aj6
2022-12-01,Glory,1989,https://boxd.it/1Y6u
2022-12-01,Uncle Buck,1989,https://boxd.it/26yG
2022-12-01,Driving Miss Daisy,1989,https://boxd.it/2asC
2022-12-01,Turner & Hooch,1989,https://boxd.it/21ie
2022-12-01,Major League,1989,https://boxd.it/1Xts
2022-12-01,Parenthood,1989,https://boxd.it/28CU
2022-12-01,The Fly II,1989,https://boxd.it/1WuE
2022-12-01,The Fabulous Baker Boys,1989,https://boxd.it/1VaI
2022-12-01,Lean On Me,1989,https://boxd.it/1NIC
2022-12-01,Let It Ride,1989,https://boxd.it/1FFq
2022-12-01,The Tall Guy,1989,https://boxd.it/1ymc
2022-12-01,Scandal,1989,https://boxd.it/1hog
2022-12-01,Cousins,1989,https://boxd.it/1iza
2022-12-02,Violent Night,2022,https://boxd.it/xXBA
2022-12-02,See How They Run,2022,https://boxd.it/sNVq
2022-12-14,The Menu,2022,https://boxd.it/lScm
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/2E2E
2022-12-20,True Lies,1994,https://boxd.it/19pq
2022-12-20,Avatar,2009,https://boxd.it/1Efm
2022-12-20,The Terminator,1984,https://boxd.it/2aQY
2022-12-20,The Devil's Rejects,2005,https://boxd.it/28hC
2022-12-20,Army of Darkness,1992,https://boxd.it/29G4
2022-12-20,Stop Making Sense,1984,https://boxd.it/1ygo
